Color,Feature,Mean,Std,Median,IQR,Min,Max
blue,height,0.20762839137538056,0.047576031086619286,0.20863306522369385,0.070685476064682,0.07271671295166016,0.32569795846939087
blue,width,0.03544586615518053,0.009422853242703156,0.0334523543715477,0.011146348901093006,0.01707887463271618,0.08305278420448303
blue,aspect_ratio,6.149272080656332,1.8220298886117066,6.004791629311925,2.656180467326018,2.2819872252441717,12.733262527355663
blue,volume_approx,0.0008133513158078822,0.0005827145865248006,0.0006685230841124046,0.000559687782701673,4.906964530815982e-05,0.004619405505101917
blue,avg_intensity,43.98998609502265,15.79558039775817,39.53845977783203,24.09540367126465,16.352941513061523,89.33333587646484
blue,std_intensity,24.739721826975874,12.2824882232403,21.39719581604004,18.623352527618408,6.1711297035217285,71.70696258544922
blue,mid_intensity,51.91786683217455,23.818586796599252,45.5,28.79166603088379,5.0,176.0
blue,reflective_pct,0.18555334413343968,0.08017937461796713,0.1746031746031746,0.07936507936507936,0.0,0.5
blue,contrast,1.4932058797747423,0.33851568971725815,1.4733332410996305,0.4040568389777348,0.48203589890579746,2.651999888784145
blue,contrast_bot_mid,0.23954267145294356,0.46315841837391536,0.2614942447101031,0.5524756985655567,-1.6355931926170646,1.9150943034887868
blue,contrast_mid_top,-0.3127074155516857,0.4371074302912934,-0.2794139285219702,0.5157469611338826,-1.8881118299191113,1.2983871200409338
blue,contrast_bot_top,-0.07316474409874212,0.4181349203773721,-0.022255192044303856,0.5245736964999943,-1.7457626822752088,1.1102150377672202
orange,height,0.21925531769996365,0.04537119231412341,0.2236838936805725,0.06805103272199631,0.09548020362854004,0.3069692850112915
orange,width,0.03526136248487316,0.008689142346942813,0.03387976437807083,0.010113252326846123,0.019984960556030273,0.07424920052289963
orange,aspect_ratio,6.53579464548159,1.890875432628956,6.443574323555803,2.8238068756479144,2.5404376286064316,11.467221332778166
orange,volume_approx,0.0008411889986336958,0.0004744557025682631,0.0007523254468760952,0.000568664510039999,0.00014068555791892114,0.0038788695750922074
orange,avg_intensity,42.35859822138259,16.67586529804865,33.769229888916016,21.99112319946289,21.431371688842773,97.5999984741211
orange,std_intensity,23.617731647404362,13.383047775976115,17.299928665161133,17.477985382080078,7.562241554260254,74.09346008300781
orange,mid_intensity,54.551149629566765,30.53417397507207,41.80952453613281,34.941179275512695,18.399999618530273,177.5
orange,reflective_pct,0.17210087673996624,0.07200256648303813,0.16666666666666666,0.06874487284659558,0.0,0.4
orange,contrast,1.5200282333762933,0.3755286239755679,1.5043858432147783,0.4601842400877485,0.5718475100638276,2.717712040439965
orange,contrast_bot_mid,0.374566039239961,0.5091322617686679,0.41575488195837107,0.5579570900119712,-1.3980716354713,1.858308535699372
orange,contrast_mid_top,-0.4167567957379729,0.4473390188441421,-0.3909813197864034,0.5275352079186628,-1.9473293038765875,1.1269841090954904
orange,contrast_bot_top,-0.04219075649801189,0.3835976507855077,0.010321101065590813,0.3968559460215406,-1.5013774213435636,0.9408127295892857
yellow,height,0.23155380603426623,0.046200779557313366,0.2361452877521515,0.07049217820167542,0.09443914890289307,0.33462777733802795
yellow,width,0.03511999301404333,0.009079749037424055,0.03386477753520012,0.011664120480418205,0.015934426337480545,0.07052063941955566
yellow,aspect_ratio,6.945048213605209,1.9826123271377378,6.746242217613222,2.711059892260729,2.563040268464518,14.359337161740676
yellow,volume_approx,0.0009114444914720091,0.0005423024499165771,0.0008085021056150838,0.0005762436677528832,2.2710934745367048e-05,0.003388707076649518
yellow,avg_intensity,27.89643385689088,7.548016760268556,26.393939971923828,9.018749237060547,9.875,64.9000015258789
yellow,std_intensity,14.840711137179097,5.255922640155502,14.079140663146973,5.942298889160156,1.7435595989227295,49.89198303222656
yellow,mid_intensity,20.423749546730082,13.685314276460137,18.66666603088379,19.666666984558105,3.0,104.0
yellow,reflective_pct,0.18664466977505506,0.09863763515161435,0.1935483870967742,0.09523809523809523,0.0,0.5
yellow,contrast,1.4804996926086122,0.3782394306798902,1.4915886482290555,0.5120229394852991,0.14285713543786438,2.4078186752571016
yellow,contrast_bot_mid,-0.3614122333712588,0.5201987988392066,-0.3706455938292698,0.6819930204971457,-2.545454452892565,1.832060945427003
yellow,contrast_mid_top,0.36291549085950525,0.5292640323017367,0.3682539593210349,0.8229943276854818,-1.48854951815944,1.9999999000000048
yellow,contrast_bot_top,0.001503257488246417,0.4664723957389296,0.022522520733971152,0.5314769674097288,-2.3855421372702907,2.499999875000006
